Scan_ID,URL,HTTP_Method,Vulnerability,Parameter,CVSS,Severity,Status
DAST0065,/search,DELETE,Open Redirect,id,8.5,High,Fixed
DAST0066,/api/users,PUT,Cross-Site Scripting,search,5.6,Medium,Open
DAST0067,/admin,PUT,Broken Authentication,redirect,8.5,High,Open
DAST0068,/profile,POST,Path Traversal,redirect,8.5,High,Open
DAST0069,/admin,GET,Information Disclosure,id,8.4,High,Fixed
DAST0070,/admin,DELETE,Missing Security Headers,id,5.5,Medium,Fixed
DAST0071,/profile,DELETE,Open Redirect,id,8,High,Open
DAST0072,/download,DELETE,Path Traversal,username,7,High,Fixed
DAST0073,/search,DELETE,Security Misconfiguration,redirect,7.7,High,Fixed
DAST0074,/search,POST,SQL Injection,search,2,Low,Open
DAST0075,/checkout,DELETE,Cross-Site Scripting,username,5.8,Medium,Open
DAST0076,/api/auth,PUT,SQL Injection,file,3.8,Low,Open
DAST0077,/api/users,PUT,Broken Authentication,token,5,Medium,Fixed
DAST0078,/api/auth,POST,Missing Security Headers,N/A,6.9,Medium,Open
DAST0079,/api/users,DELETE,Session Management Issue,username,4.8,Medium,Fixed
DAST0080,/payment,POST,SQL Injection,file,2.9,Low,Fixed
DAST0081,/upload,POST,SQL Injection,N/A,3.9,Low,Open
DAST0082,/admin,POST,Information Disclosure,username,7.3,High,Open
DAST0083,/payment,POST,Information Disclosure,N/A,5.3,Medium,Open
DAST0084,/login,PUT,Cross-Site Scripting,file,8.3,High,Fixed
DAST0085,/upload,PUT,Session Management Issue,search,2.8,Low,Open
DAST0086,/api/users,POST,Security Misconfiguration,search,5.5,Medium,Open
DAST0087,/api/users,PUT,Session Management Issue,N/A,9.9,Critical,Fixed
DAST0088,/api/users,GET,SQL Injection,id,9.1,Critical,Fixed
DAST0089,/payment,DELETE,Security Misconfiguration,N/A,9.1,Critical,Open
DAST0090,/api/auth,GET,Session Management Issue,N/A,3.4,Low,Open
DAST0091,/api/users,DELETE,Cross-Site Scripting,username,3,Low,Open
DAST0092,/admin,PUT,SQL Injection,id,7.2,High,Open
DAST0093,/upload,POST,Session Management Issue,search,4.7,Medium,Fixed
DAST0094,/upload,GET,Open Redirect,N/A,7.3,High,Open
DAST0095,/profile,DELETE,Path Traversal,token,4.6,Medium,Open
DAST0096,/admin,PUT,CSRF,redirect,3.5,Low,Open
DAST0097,/checkout,POST,Open Redirect,id,8.3,High,Open
DAST0098,/profile,DELETE,Missing Security Headers,N/A,2.7,Low,Open
DAST0099,/profile,PUT,Security Misconfiguration,username,5.7,Medium,Open
DAST0100,/checkout,GET,SQL Injection,token,6.1,Medium,Open
DAST0101,/upload,POST,SQL Injection,redirect,6.8,Medium,Fixed
DAST0102,/admin,POST,Session Management Issue,id,4.7,Medium,Fixed
DAST0103,/api/users,PUT,Security Misconfiguration,token,5.9,Medium,Fixed
DAST0104,/api/auth,POST,Broken Authentication,file,9.6,Critical,Open
DAST0105,/api/users,DELETE,CSRF,token,5.9,Medium,Open
DAST0106,/api/users,PUT,Session Management Issue,file,9.1,Critical,Open
DAST0107,/upload,PUT,Missing Security Headers,file,9.3,Critical,Open
DAST0108,/profile,PUT,SQL Injection,file,6.9,Medium,Fixed
DAST0109,/checkout,POST,Path Traversal,file,5.3,Medium,Open
DAST0110,/download,DELETE,Broken Authentication,N/A,3.2,Low,Fixed
DAST0111,/search,PUT,Session Management Issue,token,9.5,Critical,Open
DAST0112,/api/users,POST,Information Disclosure,search,4.4,Medium,Open
DAST0113,/profile,DELETE,Session Management Issue,id,2.5,Low,Open
DAST0114,/checkout,PUT,Broken Authentication,username,9.6,Critical,Open
DAST0115,/login,PUT,SQL Injection,token,7.8,High,Fixed
DAST0116,/profile,DELETE,Security Misconfiguration,username,3.1,Low,Open
DAST0117,/api/auth,GET,Security Misconfiguration,username,6.4,Medium,Open
DAST0118,/api/users,DELETE,Cross-Site Scripting,search,9.6,Critical,Open
DAST0119,/download,GET,Information Disclosure,id,6.7,Medium,Open
DAST0120,/payment,DELETE,Broken Authentication,redirect,5.2,Medium,Fixed
DAST0121,/search,POST,CSRF,file,7.2,High,Open
DAST0122,/api/auth,POST,Broken Authentication,token,4.6,Medium,Open
DAST0123,/upload,PUT,Path Traversal,username,4.5,Medium,Fixed
DAST0124,/api/auth,DELETE,SQL Injection,id,3.8,Low,Open
DAST0125,/api/auth,DELETE,Information Disclosure,search,5,Medium,Open
DAST0126,/upload,POST,Open Redirect,token,9.9,Critical,Open
DAST0127,/payment,DELETE,Cross-Site Scripting,username,3.2,Low,Open
DAST0128,/payment,DELETE,Session Management Issue,token,2.7,Low,Open
DAST0129,/payment,DELETE,Security Misconfiguration,redirect,3.1,Low,Open
DAST0130,/checkout,POST,Cross-Site Scripting,file,7.5,High,Open
DAST0131,/search,POST,Information Disclosure,N/A,7,High,Fixed
DAST0132,/checkout,POST,Open Redirect,id,9.1,Critical,Open
DAST0133,/profile,POST,CSRF,id,7.4,High,Open
DAST0134,/profile,POST,Missing Security Headers,search,7.9,High,Open
DAST0135,/upload,PUT,CSRF,file,6.2,Medium,Open
DAST0136,/checkout,PUT,Broken Authentication,redirect,7.3,High,Open
DAST0137,/login,GET,CSRF,username,8.6,High,Open
DAST0138,/profile,DELETE,Path Traversal,token,8.3,High,Open
DAST0139,/download,GET,Open Redirect,token,9.8,Critical,Open
DAST0140,/profile,GET,Broken Authentication,redirect,5.5,Medium,Open
DAST0141,/upload,PUT,Missing Security Headers,redirect,4.5,Medium,Fixed
DAST0142,/login,GET,Missing Security Headers,username,5.3,Medium,Fixed
DAST0143,/profile,PUT,CSRF,username,2.1,Low,Open
DAST0144,/profile,GET,Information Disclosure,token,3.5,Low,Open
DAST0145,/api/users,GET,SQL Injection,file,8.7,High,Fixed
DAST0146,/api/users,GET,Security Misconfiguration,N/A,3.8,Low,Open
DAST0147,/api/auth,GET,Security Misconfiguration,token,3.9,Low,Open
DAST0148,/login,POST,Security Misconfiguration,redirect,2.6,Low,Open
DAST0149,/api/auth,DELETE,Session Management Issue,file,4,Medium,Fixed
DAST0150,/profile,POST,Broken Authentication,search,7.9,High,Open
DAST0151,/payment,POST,Open Redirect,token,8.8,High,Fixed
DAST0152,/login,POST,Broken Authentication,redirect,6,Medium,Fixed
DAST0153,/checkout,DELETE,SQL Injection,username,5.1,Medium,Fixed
DAST0154,/upload,GET,Security Misconfiguration,search,4,Medium,Open
DAST0155,/download,PUT,Cross-Site Scripting,username,2.9,Low,Open
DAST0156,/api/auth,PUT,SQL Injection,N/A,5.1,Medium,Open
DAST0157,/upload,PUT,Information Disclosure,N/A,6.6,Medium,Open
DAST0158,/api/users,POST,Cross-Site Scripting,id,3.7,Low,Fixed
DAST0159,/login,DELETE,Security Misconfiguration,redirect,5.6,Medium,Fixed
DAST0160,/payment,DELETE,Security Misconfiguration,redirect,3.7,Low,Open
DAST0161,/search,PUT,Information Disclosure,id,6,Medium,Fixed
DAST0162,/checkout,POST,Cross-Site Scripting,username,4.8,Medium,Open
DAST0163,/api/auth,DELETE,Missing Security Headers,username,7.2,High,Open
DAST0164,/api/auth,GET,Path Traversal,token,5,Medium,Fixed
DAST0165,/checkout,GET,CSRF,N/A,4.8,Medium,Fixed
DAST0166,/profile,POST,Security Misconfiguration,search,6.3,Medium,Fixed
DAST0167,/search,POST,Cross-Site Scripting,search,7.9,High,Open
DAST0168,/checkout,POST,SQL Injection,N/A,3.8,Low,Open
DAST0169,/upload,GET,Cross-Site Scripting,username,5.3,Medium,Open
DAST0170,/login,PUT,Missing Security Headers,token,4.1,Medium,Open
DAST0171,/login,DELETE,Broken Authentication,redirect,7,High,Fixed
DAST0172,/upload,GET,Open Redirect,N/A,3.5,Low,Open
DAST0173,/api/users,PUT,Cross-Site Scripting,redirect,8.9,High,Open
DAST0174,/search,GET,Broken Authentication,search,8,High,Open
DAST0175,/api/users,DELETE,Session Management Issue,token,7.3,High,Open
DAST0176,/admin,GET,Open Redirect,file,6.9,Medium,Fixed
DAST0177,/download,PUT,Session Management Issue,search,5,Medium,Open
DAST0178,/api/users,DELETE,Missing Security Headers,search,6.2,Medium,Fixed
DAST0179,/download,POST,Session Management Issue,token,9,Critical,Open
DAST0180,/upload,DELETE,Information Disclosure,redirect,6.7,Medium,Fixed
DAST0181,/checkout,GET,SQL Injection,username,8.7,High,Fixed
DAST0182,/login,DELETE,Information Disclosure,username,4.5,Medium,Open
DAST0183,/upload,PUT,Open Redirect,file,7.7,High,Open
DAST0184,/api/users,PUT,SQL Injection,username,4.1,Medium,Open
DAST0185,/payment,DELETE,Broken Authentication,username,6.8,Medium,Open
DAST0186,/admin,POST,CSRF,token,5.9,Medium,Fixed
DAST0187,/login,DELETE,Cross-Site Scripting,id,4.1,Medium,Fixed
DAST0188,/profile,POST,Open Redirect,N/A,6.5,Medium,Open
DAST0189,/login,PUT,CSRF,redirect,9.3,Critical,Open
DAST0190,/checkout,DELETE,Cross-Site Scripting,redirect,9.2,Critical,Open
DAST0191,/api/users,DELETE,Session Management Issue,username,4.2,Medium,Open
DAST0192,/admin,PUT,Information Disclosure,N/A,4.6,Medium,Open
DAST0193,/download,GET,Session Management Issue,file,9.9,Critical,Open
DAST0194,/api/users,POST,Session Management Issue,search,7,High,Open
DAST0195,/upload,GET,Missing Security Headers,id,9.5,Critical,Open
DAST0196,/checkout,GET,Security Misconfiguration,N/A,5.7,Medium,Fixed
DAST0197,/login,PUT,Information Disclosure,username,5.3,Medium,Open
DAST0198,/admin,DELETE,CSRF,redirect,7.3,High,Open
DAST0199,/search,GET,Security Misconfiguration,N/A,3.2,Low,Open
DAST0200,/profile,POST,Open Redirect,username,6.6,Medium,Open
DAST0201,/upload,POST,Information Disclosure,file,3.9,Low,Open
DAST0202,/download,PUT,Security Misconfiguration,file,9.7,Critical,Open
DAST0203,/search,POST,SQL Injection,search,6.8,Medium,Fixed
DAST0204,/checkout,PUT,Broken Authentication,id,6.1,Medium,Open
DAST0205,/login,PUT,CSRF,file,5.2,Medium,Open
DAST0206,/upload,DELETE,Security Misconfiguration,token,9,Critical,Fixed
DAST0207,/profile,DELETE,SQL Injection,token,4.9,Medium,Open
DAST0208,/payment,DELETE,Broken Authentication,file,4.3,Medium,Open
DAST0209,/download,POST,CSRF,username,3.4,Low,Fixed
DAST0210,/login,PUT,SQL Injection,N/A,3.4,Low,Open
DAST0211,/download,DELETE,SQL Injection,N/A,5.9,Medium,Open
DAST0212,/profile,PUT,Session Management Issue,file,4,Medium,Open
DAST0213,/admin,DELETE,CSRF,id,3.7,Low,Open
DAST0214,/download,POST,Security Misconfiguration,username,7.4,High,Fixed
DAST0215,/upload,DELETE,Path Traversal,token,2.4,Low,Open
DAST0216,/api/users,POST,Session Management Issue,username,7.6,High,Fixed
DAST0217,/admin,PUT,Session Management Issue,id,4.8,Medium,Open
DAST0218,/payment,DELETE,CSRF,search,5.3,Medium,Open
DAST0219,/admin,PUT,Missing Security Headers,id,8.6,High,Fixed
DAST0220,/api/users,POST,SQL Injection,N/A,9.4,Critical,Open
DAST0221,/api/users,GET,Information Disclosure,redirect,4.3,Medium,Open
DAST0222,/search,GET,SQL Injection,token,9.7,Critical,Open
DAST0223,/api/auth,PUT,Open Redirect,id,7.8,High,Open
DAST0224,/upload,PUT,Path Traversal,file,7.5,High,Open
DAST0225,/admin,DELETE,Open Redirect,id,2.4,Low,Open
DAST0226,/api/auth,GET,Broken Authentication,username,5.2,Medium,Open
DAST0227,/login,DELETE,Missing Security Headers,search,5.8,Medium,Open
DAST0228,/profile,POST,Information Disclosure,N/A,6.5,Medium,Open
DAST0229,/login,DELETE,SQL Injection,username,7.6,High,Open
DAST0230,/payment,POST,SQL Injection,redirect,9.3,Critical,Fixed
DAST0231,/login,DELETE,Information Disclosure,id,6.9,Medium,Open
DAST0232,/payment,PUT,Missing Security Headers,redirect,5.4,Medium,Fixed
DAST0233,/checkout,POST,CSRF,N/A,6.3,Medium,Fixed
DAST0234,/download,PUT,Security Misconfiguration,redirect,2.5,Low,Open
DAST0235,/admin,GET,Missing Security Headers,redirect,4.1,Medium,Open
DAST0236,/upload,POST,Broken Authentication,search,5.2,Medium,Open
DAST0237,/download,DELETE,CSRF,redirect,3.6,Low,Fixed
DAST0238,/admin,DELETE,Information Disclosure,id,8.7,High,Open
DAST0239,/upload,POST,SQL Injection,redirect,3.2,Low,Open
DAST0240,/api/users,DELETE,SQL Injection,search,8.4,High,Open
DAST0241,/payment,GET,Security Misconfiguration,search,6.4,Medium,Open
DAST0242,/payment,PUT,Cross-Site Scripting,N/A,7.3,High,Fixed
DAST0243,/api/auth,POST,Broken Authentication,file,3.4,Low,Open
DAST0244,/payment,PUT,Session Management Issue,username,7.1,High,Open
DAST0245,/search,PUT,Missing Security Headers,token,4.5,Medium,Open
DAST0246,/admin,DELETE,Broken Authentication,token,7.8,High,Open
DAST0247,/profile,GET,Cross-Site Scripting,N/A,5.2,Medium,Open
DAST0248,/api/auth,DELETE,Information Disclosure,search,9.8,Critical,Open
DAST0249,/search,POST,Security Misconfiguration,username,9.7,Critical,Open
DAST0250,/login,POST,Cross-Site Scripting,file,7.8,High,Open
DAST0251,/checkout,GET,Cross-Site Scripting,id,4.1,Medium,Open
DAST0252,/api/users,GET,Security Misconfiguration,redirect,3.8,Low,Open
DAST0253,/api/auth,POST,Session Management Issue,username,6.7,Medium,Open
DAST0254,/payment,DELETE,Cross-Site Scripting,redirect,4.1,Medium,Open
DAST0255,/api/users,PUT,Security Misconfiguration,username,6.2,Medium,Open
DAST0256,/api/users,PUT,Cross-Site Scripting,username,8.3,High,Open
DAST0257,/search,PUT,Information Disclosure,search,3.3,Low,Fixed
DAST0258,/payment,DELETE,Open Redirect,redirect,5.2,Medium,Fixed
DAST0259,/admin,POST,Security Misconfiguration,id,5.8,Medium,Open
DAST0260,/profile,POST,Information Disclosure,file,8.9,High,Open
DAST0261,/payment,PUT,Open Redirect,token,9.4,Critical,Open
DAST0262,/profile,DELETE,Cross-Site Scripting,id,9.1,Critical,Fixed
DAST0263,/search,GET,Cross-Site Scripting,redirect,7.4,High,Open
DAST0264,/profile,PUT,Path Traversal,username,9.6,Critical,Open
DAST0265,/download,GET,Information Disclosure,file,6.1,Medium,Open
DAST0266,/search,PUT,SQL Injection,username,6.6,Medium,Open
DAST0267,/api/auth,PUT,Missing Security Headers,token,4.7,Medium,Open
DAST0268,/upload,PUT,Missing Security Headers,id,4.8,Medium,Fixed
DAST0269,/api/auth,DELETE,Open Redirect,id,2.2,Low,Open
DAST0270,/api/auth,DELETE,Information Disclosure,N/A,6,Medium,Open
DAST0271,/api/users,POST,Missing Security Headers,username,9,Critical,Fixed
DAST0272,/login,DELETE,Information Disclosure,file,2.1,Low,Open
DAST0273,/api/auth,GET,CSRF,search,2.6,Low,Open
DAST0274,/api/auth,DELETE,Information Disclosure,redirect,3.3,Low,Open
DAST0275,/api/users,GET,Cross-Site Scripting,N/A,8.2,High,Open
DAST0276,/search,DELETE,SQL Injection,search,7.9,High,Open
DAST0277,/profile,PUT,Open Redirect,file,9.8,Critical,Open
DAST0278,/api/auth,GET,Path Traversal,username,5.7,Medium,Open
DAST0279,/download,POST,Security Misconfiguration,N/A,2.6,Low,Fixed
DAST0280,/checkout,DELETE,Open Redirect,username,7.2,High,Open
DAST0281,/api/users,POST,SQL Injection,N/A,8.1,High,Fixed
DAST0282,/payment,PUT,Session Management Issue,search,3.1,Low,Open
DAST0283,/login,POST,Session Management Issue,search,5.2,Medium,Open
DAST0284,/api/auth,GET,Open Redirect,N/A,3.8,Low,Open
DAST0285,/api/auth,GET,Security Misconfiguration,token,2.5,Low,Open
DAST0286,/profile,DELETE,Open Redirect,token,5.2,Medium,Fixed
DAST0287,/checkout,POST,Cross-Site Scripting,file,2.5,Low,Open
DAST0288,/login,PUT,Information Disclosure,file,3.8,Low,Open
DAST0289,/download,GET,Security Misconfiguration,redirect,2.4,Low,Open
DAST0290,/checkout,GET,Security Misconfiguration,id,7.4,High,Open
DAST0291,/admin,GET,SQL Injection,id,4.4,Medium,Fixed
DAST0292,/checkout,DELETE,Open Redirect,file,2.8,Low,Open
DAST0293,/payment,DELETE,Cross-Site Scripting,redirect,2.6,Low,Open
DAST0294,/api/auth,GET,Path Traversal,id,9,Critical,Fixed
DAST0295,/admin,DELETE,Open Redirect,redirect,8,High,Open
DAST0296,/profile,GET,Missing Security Headers,redirect,8.5,High,Open
DAST0297,/profile,GET,Security Misconfiguration,token,9.9,Critical,Fixed
DAST0298,/api/auth,PUT,CSRF,file,2.8,Low,Open
DAST0299,/api/users,GET,SQL Injection,search,2.8,Low,Open
DAST0300,/api/users,POST,Missing Security Headers,redirect,8.4,High,Fixed
DAST0301,/upload,DELETE,Security Misconfiguration,token,8.3,High,Open
DAST0302,/admin,PUT,Missing Security Headers,token,2.1,Low,Open
DAST0303,/search,PUT,CSRF,username,8.2,High,Open
DAST0304,/download,PUT,SQL Injection,id,7.8,High,Open
DAST0305,/login,DELETE,Broken Authentication,search,7,High,Open
DAST0306,/download,POST,Open Redirect,file,5.8,Medium,Open
DAST0307,/upload,DELETE,Information Disclosure,file,3.3,Low,Open
DAST0308,/download,POST,Broken Authentication,file,2.1,Low,Open
DAST0309,/checkout,GET,Cross-Site Scripting,redirect,5.6,Medium,Open
DAST0310,/upload,PUT,Information Disclosure,N/A,5.9,Medium,Open
DAST0311,/payment,POST,Security Misconfiguration,username,5.1,Medium,Open
DAST0312,/api/auth,GET,Missing Security Headers,N/A,5.7,Medium,Fixed
DAST0313,/api/users,GET,Security Misconfiguration,redirect,7.7,High,Open
DAST0314,/login,PUT,Cross-Site Scripting,id,2.4,Low,Fixed
DAST0315,/api/auth,DELETE,Security Misconfiguration,token,4.8,Medium,Fixed
DAST0316,/admin,POST,SQL Injection,N/A,8.4,High,Open
DAST0317,/login,POST,Open Redirect,search,8.7,High,Fixed
DAST0318,/checkout,GET,Path Traversal,N/A,3.9,Low,Open
DAST0319,/api/auth,GET,Broken Authentication,search,4.8,Medium,Open
DAST0320,/admin,PUT,Open Redirect,file,8.9,High,Open
DAST0321,/api/users,PUT,Cross-Site Scripting,N/A,8.8,High,Open
DAST0322,/payment,GET,Open Redirect,token,4.4,Medium,Fixed
DAST0323,/login,POST,Cross-Site Scripting,redirect,3.2,Low,Open
DAST0324,/profile,DELETE,Security Misconfiguration,N/A,7.6,High,Fixed
DAST0325,/admin,DELETE,SQL Injection,search,2.8,Low,Open
DAST0326,/upload,GET,Broken Authentication,redirect,2.3,Low,Open
DAST0327,/download,DELETE,Open Redirect,username,10,Critical,Open
DAST0328,/api/users,POST,Missing Security Headers,N/A,2.3,Low,Open
DAST0329,/profile,DELETE,Cross-Site Scripting,redirect,4.7,Medium,Open
DAST0330,/admin,GET,SQL Injection,username,9.3,Critical,Open
DAST0331,/checkout,PUT,CSRF,search,6.9,Medium,Fixed
DAST0332,/api/users,PUT,Cross-Site Scripting,search,4.3,Medium,Open
DAST0333,/search,DELETE,SQL Injection,N/A,7.9,High,Open
DAST0334,/api/users,DELETE,Information Disclosure,username,8.7,High,Open
DAST0335,/api/users,POST,CSRF,username,4.5,Medium,Fixed
DAST0336,/admin,POST,Information Disclosure,id,5.9,Medium,Open
DAST0337,/search,PUT,SQL Injection,username,7.6,High,Open
DAST0338,/search,GET,Cross-Site Scripting,redirect,7.1,High,Open
DAST0339,/payment,POST,Security Misconfiguration,N/A,7.2,High,Open
DAST0340,/payment,POST,Open Redirect,token,9.8,Critical,Fixed
DAST0341,/api/users,POST,Cross-Site Scripting,username,5.3,Medium,Open
DAST0342,/api/auth,GET,Information Disclosure,N/A,3,Low,Open
DAST0343,/upload,POST,SQL Injection,username,6.2,Medium,Open
DAST0344,/upload,GET,SQL Injection,redirect,3.8,Low,Fixed
DAST0345,/checkout,PUT,Missing Security Headers,username,5.9,Medium,Open
DAST0346,/upload,PUT,CSRF,username,5,Medium,Open
DAST0347,/upload,DELETE,Missing Security Headers,N/A,9.9,Critical,Open
DAST0348,/api/users,PUT,Open Redirect,search,5.1,Medium,Open
DAST0349,/profile,POST,SQL Injection,file,3.8,Low,Fixed
DAST0350,/login,POST,Information Disclosure,id,7,High,Open
DAST0351,/admin,DELETE,Open Redirect,id,3.1,Low,Open
DAST0352,/login,PUT,Missing Security Headers,id,9.7,Critical,Open
DAST0353,/checkout,PUT,Path Traversal,redirect,6.1,Medium,Open
DAST0354,/login,DELETE,Open Redirect,N/A,3.3,Low,Fixed
DAST0355,/admin,DELETE,Path Traversal,username,7,High,Fixed
DAST0356,/download,DELETE,Session Management Issue,file,9.9,Critical,Fixed
DAST0357,/admin,GET,Information Disclosure,search,7.4,High,Fixed
DAST0358,/payment,POST,Broken Authentication,username,5.4,Medium,Fixed
DAST0359,/api/users,DELETE,Security Misconfiguration,id,4.6,Medium,Open
DAST0360,/checkout,DELETE,Path Traversal,id,8.7,High,Open
DAST0361,/login,POST,Broken Authentication,search,3.2,Low,Fixed
DAST0362,/payment,PUT,Open Redirect,username,3.5,Low,Open
DAST0363,/checkout,POST,Information Disclosure,N/A,9.2,Critical,Fixed
DAST0364,/login,GET,CSRF,N/A,4.5,Medium,Open
DAST0365,/search,PUT,Session Management Issue,token,4.9,Medium,Open
DAST0366,/checkout,POST,SQL Injection,id,8.3,High,Open
DAST0367,/api/users,DELETE,Cross-Site Scripting,token,3.5,Low,Open
DAST0368,/login,DELETE,Information Disclosure,token,2.1,Low,Open
DAST0369,/payment,GET,SQL Injection,N/A,5.3,Medium,Open
DAST0370,/api/users,GET,Information Disclosure,username,5.9,Medium,Open
DAST0371,/upload,POST,Security Misconfiguration,token,5.4,Medium,Open
DAST0372,/login,POST,Cross-Site Scripting,id,4.7,Medium,Open
DAST0373,/payment,GET,Path Traversal,username,8.9,High,Open
DAST0374,/upload,GET,Session Management Issue,id,5.6,Medium,Open
DAST0375,/login,PUT,Security Misconfiguration,search,6.3,Medium,Open
DAST0376,/checkout,PUT,Open Redirect,redirect,9.7,Critical,Open
DAST0377,/api/auth,GET,Path Traversal,N/A,8.2,High,Open
DAST0378,/upload,POST,Missing Security Headers,id,3.7,Low,Open
DAST0379,/upload,PUT,Path Traversal,username,4.5,Medium,Open
DAST0380,/checkout,POST,Session Management Issue,id,9.8,Critical,Open
DAST0381,/search,PUT,CSRF,search,6.7,Medium,Open
DAST0382,/search,GET,Path Traversal,file,8.1,High,Fixed
DAST0383,/search,DELETE,Session Management Issue,file,5,Medium,Open
DAST0384,/upload,POST,Missing Security Headers,N/A,8.2,High,Open
DAST0385,/search,PUT,CSRF,redirect,6.3,Medium,Open
DAST0386,/payment,PUT,Information Disclosure,file,9.3,Critical,Open
DAST0387,/download,DELETE,Cross-Site Scripting,redirect,3.5,Low,Open
DAST0388,/search,POST,Security Misconfiguration,file,4.3,Medium,Open
DAST0389,/login,PUT,Cross-Site Scripting,file,2.8,Low,Open
DAST0390,/checkout,POST,Open Redirect,username,3.7,Low,Open
DAST0391,/upload,PUT,Path Traversal,redirect,9.8,Critical,Fixed
DAST0392,/upload,POST,Path Traversal,N/A,4.4,Medium,Open
DAST0393,/download,DELETE,Session Management Issue,token,7.8,High,Open
