Asset_ID,Resource_Type,Resource_Name,Open_Ports,Risk_Score,Criticality,Dependency_Count,Public_Access,IAM_Risk
ASSET-0079,RDS,RDS-Resource-79,8,63,Low,12,Yes,Medium
ASSET-0080,RDS,RDS-Resource-80,13,29,High,12,No,Low
ASSET-0081,Lambda,Lambda-Resource-81,0,77,Medium,10,Yes,Medium
ASSET-0082,Lambda,Lambda-Resource-82,14,93,Critical,12,No,Medium
ASSET-0083,S3,S3-Resource-83,2,21,Critical,9,No,High
ASSET-0084,S3,S3-Resource-84,8,56,Medium,11,No,Low
ASSET-0085,VPC,VPC-Resource-85,3,67,Medium,11,Yes,Medium
ASSET-0086,S3,S3-Resource-86,15,55,Medium,12,Yes,Low
ASSET-0087,EC2,EC2-Resource-87,0,45,Low,9,No,Medium
ASSET-0088,EC2,EC2-Resource-88,8,49,High,10,No,Medium
ASSET-0089,VPC,VPC-Resource-89,11,21,Medium,11,No,Medium
ASSET-0090,RDS,RDS-Resource-90,11,24,High,0,Yes,Medium
ASSET-0091,IAM,IAM-Resource-91,3,70,High,6,No,Medium
ASSET-0092,IAM,IAM-Resource-92,13,87,Low,7,Yes,Low
ASSET-0093,S3,S3-Resource-93,6,33,Medium,10,No,Low
ASSET-0094,RDS,RDS-Resource-94,2,46,Medium,11,No,High
ASSET-0095,Lambda,Lambda-Resource-95,5,56,High,6,No,Low
ASSET-0096,IAM,IAM-Resource-96,14,74,High,2,Yes,High
ASSET-0097,Lambda,Lambda-Resource-97,1,74,High,0,No,Medium
ASSET-0098,Lambda,Lambda-Resource-98,7,48,Low,3,Yes,Low
ASSET-0099,S3,S3-Resource-99,1,54,Low,4,No,Medium
ASSET-0100,S3,S3-Resource-100,8,56,Medium,9,Yes,Medium
ASSET-0101,S3,S3-Resource-101,5,56,Low,7,Yes,Low
ASSET-0102,Lambda,Lambda-Resource-102,3,74,Medium,8,No,Medium
ASSET-0103,IAM,IAM-Resource-103,1,75,High,9,No,Medium
ASSET-0104,RDS,RDS-Resource-104,14,72,Critical,7,Yes,Medium
ASSET-0105,S3,S3-Resource-105,14,14,Low,10,Yes,Low
ASSET-0106,RDS,RDS-Resource-106,15,50,High,6,Yes,Low
ASSET-0107,IAM,IAM-Resource-107,0,18,High,5,No,Medium
ASSET-0108,VPC,VPC-Resource-108,1,15,Medium,4,No,Medium
ASSET-0109,EC2,EC2-Resource-109,4,21,Low,2,No,Medium
ASSET-0110,Lambda,Lambda-Resource-110,0,56,Low,6,No,High
ASSET-0111,RDS,RDS-Resource-111,9,55,Medium,3,Yes,Low
ASSET-0112,IAM,IAM-Resource-112,12,13,Critical,0,Yes,Medium
ASSET-0113,RDS,RDS-Resource-113,15,83,Medium,0,No,Low
ASSET-0114,IAM,IAM-Resource-114,2,44,High,9,No,Medium
ASSET-0115,S3,S3-Resource-115,14,27,Medium,9,No,Medium
ASSET-0116,Lambda,Lambda-Resource-116,8,29,High,4,Yes,High
ASSET-0117,S3,S3-Resource-117,11,14,Medium,9,Yes,Low
ASSET-0118,Lambda,Lambda-Resource-118,12,34,Medium,10,Yes,High
ASSET-0119,RDS,RDS-Resource-119,3,68,High,6,Yes,Medium
ASSET-0120,IAM,IAM-Resource-120,10,91,Medium,9,Yes,High
ASSET-0121,EC2,EC2-Resource-121,4,33,Low,7,No,Medium
ASSET-0122,EC2,EC2-Resource-122,15,100,Medium,6,Yes,High
ASSET-0123,VPC,VPC-Resource-123,10,95,High,9,No,High
ASSET-0124,S3,S3-Resource-124,10,54,Medium,8,Yes,Low
ASSET-0125,EC2,EC2-Resource-125,14,39,Low,1,No,Low
ASSET-0126,IAM,IAM-Resource-126,13,42,Critical,8,No,Low
ASSET-0127,VPC,VPC-Resource-127,10,26,Medium,8,No,Medium
ASSET-0128,IAM,IAM-Resource-128,10,10,Medium,12,No,Low
ASSET-0129,VPC,VPC-Resource-129,4,55,Medium,9,Yes,High
ASSET-0130,Lambda,Lambda-Resource-130,8,25,Low,0,No,High
ASSET-0131,IAM,IAM-Resource-131,10,94,Medium,3,No,Medium
ASSET-0132,IAM,IAM-Resource-132,15,69,High,3,No,Medium
ASSET-0133,VPC,VPC-Resource-133,1,17,Critical,1,No,Low
ASSET-0134,EC2,EC2-Resource-134,1,71,High,10,Yes,Medium
ASSET-0135,Lambda,Lambda-Resource-135,0,25,Medium,8,No,Low
ASSET-0136,Lambda,Lambda-Resource-136,7,19,Medium,2,Yes,High
ASSET-0137,VPC,VPC-Resource-137,9,32,Medium,0,No,Low
ASSET-0138,Lambda,Lambda-Resource-138,1,82,High,4,No,Low
ASSET-0139,VPC,VPC-Resource-139,15,42,High,3,No,High
ASSET-0140,Lambda,Lambda-Resource-140,3,21,Critical,5,Yes,Medium
ASSET-0141,EC2,EC2-Resource-141,11,53,Medium,12,Yes,Medium
ASSET-0142,Lambda,Lambda-Resource-142,4,52,High,2,Yes,Low
ASSET-0143,IAM,IAM-Resource-143,15,13,Medium,7,No,Medium
ASSET-0144,IAM,IAM-Resource-144,11,26,High,9,No,Low
ASSET-0145,VPC,VPC-Resource-145,10,78,Medium,7,Yes,Low
ASSET-0146,IAM,IAM-Resource-146,8,38,Critical,7,No,Low
ASSET-0147,VPC,VPC-Resource-147,7,48,High,1,Yes,Medium
ASSET-0148,IAM,IAM-Resource-148,5,32,High,4,No,Low
ASSET-0149,VPC,VPC-Resource-149,11,11,Critical,1,No,Low
ASSET-0150,IAM,IAM-Resource-150,10,68,Medium,5,Yes,Medium
ASSET-0151,EC2,EC2-Resource-151,11,95,High,1,Yes,Low
ASSET-0152,VPC,VPC-Resource-152,10,37,High,9,Yes,High
ASSET-0153,IAM,IAM-Resource-153,11,23,High,6,No,Medium
ASSET-0154,RDS,RDS-Resource-154,4,13,Low,7,No,Medium
ASSET-0155,S3,S3-Resource-155,6,41,Medium,1,Yes,Medium
ASSET-0156,S3,S3-Resource-156,9,35,High,2,Yes,Low
ASSET-0157,Lambda,Lambda-Resource-157,15,22,Medium,2,No,High
ASSET-0158,Lambda,Lambda-Resource-158,0,32,Low,4,Yes,High
ASSET-0159,VPC,VPC-Resource-159,12,84,Medium,6,No,Low
ASSET-0160,S3,S3-Resource-160,7,55,Low,3,No,Medium
ASSET-0161,IAM,IAM-Resource-161,15,40,Medium,9,Yes,High
ASSET-0162,VPC,VPC-Resource-162,8,88,Critical,2,No,Medium
ASSET-0163,Lambda,Lambda-Resource-163,3,45,Medium,0,No,Medium
ASSET-0164,IAM,IAM-Resource-164,12,22,High,8,No,Low
ASSET-0165,S3,S3-Resource-165,15,77,High,5,Yes,Low
ASSET-0166,EC2,EC2-Resource-166,7,32,Medium,12,No,Medium
ASSET-0167,RDS,RDS-Resource-167,7,64,Low,1,No,Medium
ASSET-0168,S3,S3-Resource-168,6,99,High,12,No,Medium
ASSET-0169,EC2,EC2-Resource-169,2,14,Medium,12,No,Low
ASSET-0170,VPC,VPC-Resource-170,0,65,High,11,No,High
ASSET-0171,Lambda,Lambda-Resource-171,2,51,Critical,11,Yes,Low
ASSET-0172,RDS,RDS-Resource-172,10,70,Critical,11,No,High
ASSET-0173,S3,S3-Resource-173,8,52,Critical,11,No,Medium
ASSET-0174,EC2,EC2-Resource-174,9,96,Critical,9,Yes,Low
ASSET-0175,IAM,IAM-Resource-175,8,62,Medium,5,No,Low
ASSET-0176,VPC,VPC-Resource-176,8,36,High,1,No,Medium
ASSET-0177,Lambda,Lambda-Resource-177,14,53,Low,7,Yes,Low
ASSET-0178,VPC,VPC-Resource-178,5,80,Medium,0,No,High
ASSET-0179,IAM,IAM-Resource-179,7,25,Low,9,Yes,Low
ASSET-0180,IAM,IAM-Resource-180,0,66,High,12,Yes,High
ASSET-0181,IAM,IAM-Resource-181,2,19,Low,10,Yes,High
ASSET-0182,VPC,VPC-Resource-182,0,48,High,0,No,Medium
ASSET-0183,S3,S3-Resource-183,0,14,High,2,Yes,Low
ASSET-0184,VPC,VPC-Resource-184,1,73,High,9,No,Low
ASSET-0185,S3,S3-Resource-185,7,94,Medium,1,Yes,Low
ASSET-0186,Lambda,Lambda-Resource-186,1,28,High,12,No,High
ASSET-0187,VPC,VPC-Resource-187,12,93,Low,3,Yes,High
ASSET-0188,Lambda,Lambda-Resource-188,5,17,High,6,Yes,Low
ASSET-0189,RDS,RDS-Resource-189,12,41,High,7,No,High
ASSET-0190,EC2,EC2-Resource-190,0,64,Low,3,Yes,High
ASSET-0191,Lambda,Lambda-Resource-191,13,22,Medium,7,No,Low
ASSET-0192,Lambda,Lambda-Resource-192,1,38,Medium,10,Yes,High
ASSET-0193,EC2,EC2-Resource-193,0,76,Medium,0,Yes,Medium
ASSET-0194,Lambda,Lambda-Resource-194,0,78,High,6,No,Low
ASSET-0195,S3,S3-Resource-195,11,13,Medium,11,Yes,High
ASSET-0196,Lambda,Lambda-Resource-196,4,13,Low,2,Yes,High
ASSET-0197,IAM,IAM-Resource-197,12,51,Medium,3,Yes,High
ASSET-0198,IAM,IAM-Resource-198,4,36,High,8,Yes,Medium
ASSET-0199,S3,S3-Resource-199,4,83,High,1,Yes,Low
ASSET-0200,S3,S3-Resource-200,6,37,Low,2,No,High
ASSET-0201,IAM,IAM-Resource-201,9,38,Medium,1,Yes,Low
ASSET-0202,RDS,RDS-Resource-202,12,20,Medium,6,No,Medium
ASSET-0203,S3,S3-Resource-203,15,69,Low,3,Yes,High
ASSET-0204,RDS,RDS-Resource-204,9,49,Low,3,Yes,Medium
ASSET-0205,Lambda,Lambda-Resource-205,10,94,Critical,5,No,Low
ASSET-0206,Lambda,Lambda-Resource-206,7,38,Medium,5,Yes,High
ASSET-0207,RDS,RDS-Resource-207,8,52,Critical,7,Yes,Medium
ASSET-0208,RDS,RDS-Resource-208,3,74,High,5,Yes,Low
ASSET-0209,RDS,RDS-Resource-209,9,32,Medium,5,Yes,Medium
ASSET-0210,S3,S3-Resource-210,5,53,Critical,6,No,Low
ASSET-0211,Lambda,Lambda-Resource-211,7,49,Low,12,No,Low
ASSET-0212,S3,S3-Resource-212,9,31,High,12,No,Low
ASSET-0213,VPC,VPC-Resource-213,6,67,High,11,Yes,Low
ASSET-0214,Lambda,Lambda-Resource-214,11,92,High,2,No,Medium
ASSET-0215,S3,S3-Resource-215,15,64,Low,4,Yes,High
ASSET-0216,VPC,VPC-Resource-216,8,11,High,1,Yes,High
ASSET-0217,IAM,IAM-Resource-217,4,61,Critical,4,Yes,High
ASSET-0218,VPC,VPC-Resource-218,1,53,Medium,10,Yes,Low
ASSET-0219,Lambda,Lambda-Resource-219,2,38,Low,3,Yes,Low
ASSET-0220,Lambda,Lambda-Resource-220,4,35,Low,12,No,Medium
ASSET-0221,RDS,RDS-Resource-221,4,65,Medium,3,No,High
ASSET-0222,VPC,VPC-Resource-222,14,42,Low,0,Yes,Low
ASSET-0223,Lambda,Lambda-Resource-223,12,31,Medium,8,Yes,High
ASSET-0224,EC2,EC2-Resource-224,8,91,Critical,5,No,Medium
ASSET-0225,IAM,IAM-Resource-225,7,10,Medium,5,No,Low
ASSET-0226,Lambda,Lambda-Resource-226,2,88,High,4,Yes,High
ASSET-0227,RDS,RDS-Resource-227,15,96,Medium,3,No,Low
ASSET-0228,S3,S3-Resource-228,2,45,High,8,No,Low
ASSET-0229,IAM,IAM-Resource-229,15,75,Critical,11,Yes,Low
ASSET-0230,RDS,RDS-Resource-230,13,27,High,1,Yes,Medium
ASSET-0231,RDS,RDS-Resource-231,1,79,Critical,0,No,Low
ASSET-0232,RDS,RDS-Resource-232,10,53,Low,10,Yes,Low
ASSET-0233,EC2,EC2-Resource-233,3,20,High,9,Yes,Low
ASSET-0234,EC2,EC2-Resource-234,13,25,High,5,No,Medium
ASSET-0235,EC2,EC2-Resource-235,14,81,Critical,5,No,Medium
ASSET-0236,RDS,RDS-Resource-236,3,55,Medium,12,Yes,Medium
ASSET-0237,RDS,RDS-Resource-237,3,32,Low,3,No,Medium
ASSET-0238,EC2,EC2-Resource-238,9,38,High,11,No,Medium
ASSET-0239,RDS,RDS-Resource-239,0,73,High,8,Yes,High
ASSET-0240,Lambda,Lambda-Resource-240,11,68,Critical,6,No,Medium
ASSET-0241,IAM,IAM-Resource-241,5,15,Low,8,No,Medium
ASSET-0242,VPC,VPC-Resource-242,0,40,High,0,No,High
ASSET-0243,EC2,EC2-Resource-243,12,55,Critical,3,No,Low
ASSET-0244,S3,S3-Resource-244,6,26,High,11,No,Low
ASSET-0245,VPC,VPC-Resource-245,4,71,High,3,No,Medium
ASSET-0246,Lambda,Lambda-Resource-246,13,51,Medium,4,Yes,High
ASSET-0247,S3,S3-Resource-247,9,15,High,2,Yes,Medium
ASSET-0248,Lambda,Lambda-Resource-248,0,50,Low,5,No,High
ASSET-0249,VPC,VPC-Resource-249,0,24,Low,3,Yes,Low
ASSET-0250,VPC,VPC-Resource-250,7,96,Medium,6,No,Medium
ASSET-0251,EC2,EC2-Resource-251,1,49,Low,8,Yes,Medium
ASSET-0252,VPC,VPC-Resource-252,11,37,Low,0,Yes,Low
ASSET-0253,S3,S3-Resource-253,12,75,Medium,4,Yes,Medium
ASSET-0254,VPC,VPC-Resource-254,3,94,Medium,2,Yes,Medium
ASSET-0255,RDS,RDS-Resource-255,15,37,High,0,Yes,High
ASSET-0256,Lambda,Lambda-Resource-256,12,83,Medium,11,No,Medium
ASSET-0257,RDS,RDS-Resource-257,15,58,Critical,5,Yes,Medium
ASSET-0258,EC2,EC2-Resource-258,14,33,Medium,12,No,Low
ASSET-0259,S3,S3-Resource-259,3,92,Medium,1,Yes,Low
ASSET-0260,IAM,IAM-Resource-260,7,43,High,7,Yes,Low
ASSET-0261,IAM,IAM-Resource-261,15,34,Critical,11,Yes,Medium
ASSET-0262,VPC,VPC-Resource-262,13,59,Low,9,No,High
ASSET-0263,S3,S3-Resource-263,11,30,High,5,No,Medium
ASSET-0264,Lambda,Lambda-Resource-264,3,48,Medium,9,No,Medium
ASSET-0265,VPC,VPC-Resource-265,13,73,High,3,No,Low
ASSET-0266,S3,S3-Resource-266,15,77,High,8,Yes,Medium
ASSET-0267,S3,S3-Resource-267,10,47,Medium,9,Yes,Low
ASSET-0268,IAM,IAM-Resource-268,12,13,Low,3,No,Low
ASSET-0269,RDS,RDS-Resource-269,2,25,Low,10,No,High
ASSET-0270,S3,S3-Resource-270,1,27,High,9,No,Low
ASSET-0271,S3,S3-Resource-271,11,43,Critical,9,No,Medium
ASSET-0272,IAM,IAM-Resource-272,15,19,Low,6,No,Medium
ASSET-0273,RDS,RDS-Resource-273,3,71,Medium,4,No,Low
ASSET-0274,S3,S3-Resource-274,10,48,High,1,No,Low
ASSET-0275,RDS,RDS-Resource-275,12,56,Medium,11,No,Medium
ASSET-0276,Lambda,Lambda-Resource-276,3,40,Low,3,Yes,Medium
ASSET-0277,RDS,RDS-Resource-277,14,47,High,2,Yes,High
ASSET-0278,IAM,IAM-Resource-278,10,45,Medium,3,No,Medium
ASSET-0279,S3,S3-Resource-279,6,89,Low,7,Yes,Low
ASSET-0280,IAM,IAM-Resource-280,5,88,High,10,Yes,Medium
ASSET-0281,EC2,EC2-Resource-281,9,65,Low,5,Yes,Medium
ASSET-0282,Lambda,Lambda-Resource-282,6,94,High,10,No,High
ASSET-0283,RDS,RDS-Resource-283,7,69,High,5,No,Low
ASSET-0284,RDS,RDS-Resource-284,0,100,High,3,Yes,Medium
ASSET-0285,VPC,VPC-Resource-285,13,36,Critical,9,Yes,Low
ASSET-0286,S3,S3-Resource-286,6,89,Medium,2,Yes,Medium
ASSET-0287,IAM,IAM-Resource-287,2,56,Medium,0,No,Low
ASSET-0288,EC2,EC2-Resource-288,6,44,Low,1,No,Medium
ASSET-0289,RDS,RDS-Resource-289,4,56,Medium,4,Yes,Low
ASSET-0290,S3,S3-Resource-290,15,86,Medium,6,Yes,High
ASSET-0291,S3,S3-Resource-291,10,57,High,9,No,Low
ASSET-0292,S3,S3-Resource-292,6,64,High,7,Yes,Low
ASSET-0293,VPC,VPC-Resource-293,8,85,Medium,12,No,Low
ASSET-0294,IAM,IAM-Resource-294,0,63,Low,3,No,Low
ASSET-0295,RDS,RDS-Resource-295,4,38,Critical,0,Yes,Low
ASSET-0296,Lambda,Lambda-Resource-296,13,98,Medium,5,Yes,Low
ASSET-0297,VPC,VPC-Resource-297,12,79,Medium,8,Yes,High
ASSET-0298,RDS,RDS-Resource-298,7,11,Critical,12,No,Low
ASSET-0299,Lambda,Lambda-Resource-299,6,20,High,11,No,Low
ASSET-0300,RDS,RDS-Resource-300,4,87,High,1,No,Medium
ASSET-0301,S3,S3-Resource-301,8,40,Medium,6,No,Low
ASSET-0302,VPC,VPC-Resource-302,7,55,High,11,Yes,Medium
ASSET-0303,Lambda,Lambda-Resource-303,6,83,Medium,3,No,Medium
ASSET-0304,Lambda,Lambda-Resource-304,10,59,Medium,1,No,High
ASSET-0305,IAM,IAM-Resource-305,13,58,Medium,12,No,High
ASSET-0306,VPC,VPC-Resource-306,3,82,Low,11,No,High
ASSET-0307,RDS,RDS-Resource-307,3,55,Medium,8,Yes,Medium
ASSET-0308,IAM,IAM-Resource-308,3,25,Medium,11,No,Low
ASSET-0309,EC2,EC2-Resource-309,0,85,Low,11,Yes,Low
ASSET-0310,Lambda,Lambda-Resource-310,15,44,Critical,8,Yes,Low
ASSET-0311,RDS,RDS-Resource-311,0,84,High,12,No,Medium
ASSET-0312,EC2,EC2-Resource-312,4,89,Low,5,No,Low
ASSET-0313,Lambda,Lambda-Resource-313,4,51,High,5,No,Low
ASSET-0314,IAM,IAM-Resource-314,3,32,High,5,No,Medium
ASSET-0315,EC2,EC2-Resource-315,1,90,High,4,Yes,High
ASSET-0316,IAM,IAM-Resource-316,5,80,Medium,1,Yes,High
ASSET-0317,RDS,RDS-Resource-317,8,69,High,1,Yes,Low
ASSET-0318,VPC,VPC-Resource-318,7,91,Critical,5,No,High
ASSET-0319,EC2,EC2-Resource-319,3,41,Low,11,No,Low
ASSET-0320,IAM,IAM-Resource-320,5,50,Medium,0,Yes,Low
ASSET-0321,IAM,IAM-Resource-321,8,24,Low,5,No,Low
ASSET-0322,S3,S3-Resource-322,7,68,Medium,2,No,High
ASSET-0323,IAM,IAM-Resource-323,0,60,Medium,6,Yes,Low
ASSET-0324,VPC,VPC-Resource-324,1,69,Medium,9,No,Low
ASSET-0325,IAM,IAM-Resource-325,0,11,Low,12,No,Medium
ASSET-0326,RDS,RDS-Resource-326,8,88,Critical,1,No,Medium
ASSET-0327,Lambda,Lambda-Resource-327,10,46,High,7,Yes,Low
ASSET-0328,IAM,IAM-Resource-328,5,100,Medium,9,No,Low
ASSET-0329,EC2,EC2-Resource-329,14,23,High,10,No,Medium
ASSET-0330,RDS,RDS-Resource-330,1,27,Medium,8,No,Medium
ASSET-0331,S3,S3-Resource-331,9,19,Medium,6,Yes,Low
ASSET-0332,RDS,RDS-Resource-332,3,88,Low,0,Yes,High
ASSET-0333,RDS,RDS-Resource-333,7,96,Low,3,Yes,Medium
ASSET-0334,RDS,RDS-Resource-334,10,94,Critical,10,No,Low
ASSET-0335,Lambda,Lambda-Resource-335,3,94,Critical,0,Yes,High
ASSET-0336,RDS,RDS-Resource-336,3,36,Low,7,Yes,Medium
ASSET-0337,VPC,VPC-Resource-337,1,84,Medium,2,No,Medium
ASSET-0338,RDS,RDS-Resource-338,8,79,Critical,10,Yes,Low
ASSET-0339,S3,S3-Resource-339,3,78,Medium,10,Yes,Medium
ASSET-0340,VPC,VPC-Resource-340,8,51,Medium,12,Yes,Low
ASSET-0341,EC2,EC2-Resource-341,9,76,Critical,12,Yes,High
ASSET-0342,S3,S3-Resource-342,12,61,Medium,2,Yes,Low
ASSET-0343,IAM,IAM-Resource-343,12,98,Medium,5,No,Low
ASSET-0344,VPC,VPC-Resource-344,1,57,Low,8,No,Medium
ASSET-0345,S3,S3-Resource-345,3,58,High,2,No,High
ASSET-0346,Lambda,Lambda-Resource-346,11,69,Low,5,No,Medium
ASSET-0347,RDS,RDS-Resource-347,7,67,High,3,No,Low
ASSET-0348,RDS,RDS-Resource-348,4,57,Low,0,No,High
ASSET-0349,RDS,RDS-Resource-349,2,90,High,5,No,High
ASSET-0350,RDS,RDS-Resource-350,2,24,High,11,No,Medium
ASSET-0351,S3,S3-Resource-351,3,83,High,10,Yes,Low
ASSET-0352,Lambda,Lambda-Resource-352,5,92,Medium,0,Yes,Low
ASSET-0353,Lambda,Lambda-Resource-353,0,25,High,3,No,Low
ASSET-0354,IAM,IAM-Resource-354,5,99,Medium,1,No,Low
ASSET-0355,VPC,VPC-Resource-355,3,97,High,2,No,Low
ASSET-0356,VPC,VPC-Resource-356,14,12,Medium,0,No,High
ASSET-0357,IAM,IAM-Resource-357,3,79,Medium,8,Yes,Low
ASSET-0358,RDS,RDS-Resource-358,2,26,Medium,10,Yes,Low
ASSET-0359,VPC,VPC-Resource-359,8,24,Medium,3,No,Low
ASSET-0360,S3,S3-Resource-360,4,75,Medium,11,Yes,Low
ASSET-0361,EC2,EC2-Resource-361,13,47,Critical,5,Yes,Medium
ASSET-0362,VPC,VPC-Resource-362,15,76,High,1,Yes,High
ASSET-0363,RDS,RDS-Resource-363,10,53,Critical,1,Yes,Low
ASSET-0364,IAM,IAM-Resource-364,13,60,High,11,Yes,High
ASSET-0365,IAM,IAM-Resource-365,14,81,Low,10,Yes,Medium
ASSET-0366,RDS,RDS-Resource-366,3,91,High,5,Yes,High
ASSET-0367,EC2,EC2-Resource-367,4,62,Medium,11,No,Low
ASSET-0368,Lambda,Lambda-Resource-368,12,56,Medium,12,Yes,Medium
ASSET-0369,Lambda,Lambda-Resource-369,12,10,Medium,10,No,Medium
ASSET-0370,IAM,IAM-Resource-370,9,65,High,1,Yes,Medium
ASSET-0371,IAM,IAM-Resource-371,0,88,Low,1,No,High
ASSET-0372,IAM,IAM-Resource-372,12,36,Medium,11,No,Low
