ID,File_Name,Language,Component,Vulnerability,CWE,Line_Number,CVSS,Severity,Risk_Score,Detection_Status,Remediation
V0039,database.c,C,File Upload,Weak Authentication,CWE-287,949,7.2,High,8.64,Detected,Pending
V0040,payment.cpp,JavaScript,Session Management,Buffer Overflow,CWE-120,1204,8.7,High,10.44,Detected,Fixed
V0041,admin.java,Python,API,Cross-Site Scripting,CWE-79,469,4.1,Medium,4.1,Missed,Pending
V0042,upload.java,C++,Session Management,SQL Injection,CWE-89,148,3.1,Low,2.17,Detected,Pending
V0043,admin.c,PHP,Authentication,Insecure Cryptography,CWE-327,1035,8.1,High,9.72,Detected,Pending
V0044,api.php,Python,User Management,Insecure Cryptography,CWE-327,1145,3.7,Low,2.59,Detected,Pending
V0045,login.cpp,C++,Configuration,Insecure API,CWE-639,308,4.1,Medium,4.1,Detected,Fixed
V0046,auth.php,C++,Authentication,Weak Authentication,CWE-287,895,6.3,Medium,6.3,Missed,Pending
V0047,upload.c,JavaScript,Payment,Insecure Cryptography,CWE-327,1461,5.8,Medium,5.8,Missed,Fixed
V0048,search.py,C++,User Management,Sensitive Data Exposure,CWE-200,784,5,Medium,5,Missed,Pending
V0049,user.js,JavaScript,Session Management,Hardcoded Credentials,CWE-798,229,8.2,High,9.84,Detected,Fixed
V0050,search.php,PHP,Authentication,Insecure API,CWE-639,159,6.5,Medium,6.5,Detected,Fixed
V0051,session.java,C,Session Management,Buffer Overflow,CWE-120,707,3.2,Low,2.24,Detected,Pending
V0052,payment.py,C++,Payment,Insecure API,CWE-639,1475,9.9,Critical,14.85,Detected,Fixed
V0053,admin.js,C,Authentication,Insecure API,CWE-639,1290,4,Medium,4,Detected,Fixed
V0054,download.c,C++,Configuration,Path Traversal,CWE-22,867,3,Low,2.1,Detected,Pending
V0055,profile.cpp,JavaScript,Database,SQL Injection,CWE-89,78,3.7,Low,2.59,Detected,Fixed
V0056,user.py,PHP,API,Insecure API,CWE-639,547,5,Medium,5,Detected,Fixed
V0057,session.java,C,Database,Cross-Site Scripting,CWE-79,453,4.9,Medium,4.9,Detected,Pending
V0058,checkout.cpp,Python,Payment,SQL Injection,CWE-89,1152,4.4,Medium,4.4,Missed,Pending
V0059,login.php,C++,User Management,Cross-Site Scripting,CWE-79,936,2.4,Low,1.68,Detected,Pending
V0060,admin.php,Python,Payment,Hardcoded Credentials,CWE-798,444,9.5,Critical,14.25,Detected,Fixed
V0061,download.c,Python,Database,Weak Authentication,CWE-287,552,6.5,Medium,6.5,Missed,Fixed
V0062,login.cpp,Java,Authentication,Insecure API,CWE-639,498,3.8,Low,2.66,Missed,Pending
V0063,database.c,Python,Configuration,Command Injection,CWE-78,1343,9,Critical,13.5,Detected,Fixed
V0064,payment.cpp,Java,Configuration,Insecure Cryptography,CWE-327,728,5.7,Medium,5.7,Detected,Fixed
V0065,auth.py,C,Session Management,Hardcoded Credentials,CWE-798,760,6.3,Medium,6.3,Detected,Pending
V0066,api.c,Java,Authentication,Insecure API,CWE-639,1210,8.3,High,9.96,Detected,Fixed
V0067,server.c,PHP,API,Insecure Cryptography,CWE-327,1296,7.2,High,8.64,Missed,Fixed
V0068,profile.py,Python,Configuration,Insecure Cryptography,CWE-327,671,3.2,Low,2.24,Detected,Pending
V0069,checkout.py,JavaScript,API,Path Traversal,CWE-22,604,4.6,Medium,4.6,Detected,Fixed
V0070,profile.c,Java,User Management,Command Injection,CWE-78,353,9.6,Critical,14.4,Detected,Fixed
V0071,download.py,C++,Session Management,Buffer Overflow,CWE-120,502,3.5,Low,2.45,Detected,Pending
V0072,server.js,PHP,Session Management,Insecure Cryptography,CWE-327,945,8,High,9.6,Missed,Fixed
V0073,checkout.js,JavaScript,User Management,Command Injection,CWE-78,597,5.7,Medium,5.7,Detected,Pending
V0074,api.php,Java,User Management,Path Traversal,CWE-22,790,3.1,Low,2.17,Detected,Pending
V0075,session.cpp,PHP,Session Management,Command Injection,CWE-78,665,3.6,Low,2.52,Detected,Pending
V0076,admin.php,Java,Payment,Path Traversal,CWE-22,926,7.4,High,8.88,Detected,Fixed
V0077,admin.cpp,C++,Payment,Insecure API,CWE-639,1195,3.1,Low,2.17,Detected,Pending
V0078,config.php,Python,File Upload,Sensitive Data Exposure,CWE-200,395,5.3,Medium,5.3,Missed,Fixed
V0079,config.js,Java,Payment,Weak Authentication,CWE-287,130,5.6,Medium,5.6,Missed,Fixed
V0080,login.java,Java,Configuration,Weak Authentication,CWE-287,461,7,High,8.4,Detected,Fixed
V0081,download.php,Java,Authentication,Buffer Overflow,CWE-120,430,4,Medium,4,Missed,Pending
V0082,checkout.py,Python,File Upload,Command Injection,CWE-78,1015,5.7,Medium,5.7,Detected,Pending
V0083,search.js,C,User Management,Sensitive Data Exposure,CWE-200,169,3.3,Low,2.31,Missed,Pending
V0084,admin.php,Java,Configuration,Cross-Site Scripting,CWE-79,1007,8.9,High,10.68,Detected,Fixed
V0085,upload.java,Java,Authentication,Sensitive Data Exposure,CWE-200,381,3.3,Low,2.31,Detected,Pending
V0086,profile.c,PHP,API,Cross-Site Scripting,CWE-79,639,2.7,Low,1.89,Detected,Pending
V0087,database.cpp,C++,File Upload,Sensitive Data Exposure,CWE-200,1183,9.1,Critical,13.65,Detected,Pending
V0088,login.java,JavaScript,File Upload,Insecure API,CWE-639,424,4.4,Medium,4.4,Detected,Fixed
V0089,session.java,C,Database,Hardcoded Credentials,CWE-798,60,8,High,9.6,Detected,Fixed
V0090,api.c,C++,File Upload,SQL Injection,CWE-89,170,5.2,Medium,5.2,Detected,Pending
V0091,search.cpp,C++,Configuration,Insecure API,CWE-639,202,5.6,Medium,5.6,Missed,Fixed
V0092,login.cpp,Python,Payment,Command Injection,CWE-78,934,3.3,Low,2.31,Detected,Pending
V0093,user.js,C,Database,Buffer Overflow,CWE-120,821,3.2,Low,2.24,Detected,Pending
V0094,database.js,C,File Upload,Command Injection,CWE-78,328,3.2,Low,2.24,Detected,Pending
V0095,upload.c,Python,Configuration,Buffer Overflow,CWE-120,583,6.1,Medium,6.1,Detected,Fixed
V0096,session.cpp,Java,File Upload,SQL Injection,CWE-89,121,5.9,Medium,5.9,Detected,Fixed
V0097,auth.cpp,C++,Session Management,Path Traversal,CWE-22,1395,6.9,Medium,6.9,Missed,Fixed
V0098,upload.py,JavaScript,API,Path Traversal,CWE-22,869,5.6,Medium,5.6,Detected,Fixed
V0099,server.py,C++,Database,Path Traversal,CWE-22,639,2.4,Low,1.68,Detected,Pending
V0100,auth.c,JavaScript,File Upload,Sensitive Data Exposure,CWE-200,1146,2,Low,1.4,Detected,Fixed
V0101,checkout.py,C++,User Management,Insecure API,CWE-639,1043,3.8,Low,2.66,Detected,Pending
V0102,admin.java,JavaScript,User Management,Path Traversal,CWE-22,1060,8.8,High,10.56,Detected,Fixed
V0103,login.c,Java,Payment,Sensitive Data Exposure,CWE-200,840,4.1,Medium,4.1,Detected,Fixed
V0104,database.cpp,C,Payment,Weak Authentication,CWE-287,498,6.8,Medium,6.8,Detected,Pending
V0105,admin.c,C,Configuration,Insecure API,CWE-639,566,6.9,Medium,6.9,Detected,Pending
V0106,upload.py,JavaScript,File Upload,Buffer Overflow,CWE-120,177,9.9,Critical,14.85,Detected,Pending
V0107,api.java,PHP,Configuration,Weak Authentication,CWE-287,437,3.5,Low,2.45,Detected,Pending
V0108,config.c,PHP,Session Management,Path Traversal,CWE-22,805,8,High,9.6,Detected,Pending
V0109,server.java,Python,Payment,Hardcoded Credentials,CWE-798,702,3.9,Low,2.73,Detected,Pending
V0110,search.js,C,API,Command Injection,CWE-78,606,4.6,Medium,4.6,Missed,Pending
V0111,config.cpp,Java,Database,Insecure Cryptography,CWE-327,1250,2,Low,1.4,Detected,Fixed
V0112,auth.php,JavaScript,Payment,Path Traversal,CWE-22,407,10,Critical,15,Detected,Pending
V0113,payment.c,Python,Configuration,Insecure API,CWE-639,338,5.5,Medium,5.5,Detected,Fixed
V0114,auth.js,PHP,User Management,Sensitive Data Exposure,CWE-200,457,10,Critical,15,Detected,Pending
V0115,admin.java,PHP,File Upload,Insecure Cryptography,CWE-327,606,3.6,Low,2.52,Detected,Pending
V0116,upload.py,Python,Authentication,Path Traversal,CWE-22,71,2.9,Low,2.03,Detected,Pending
V0117,login.php,PHP,File Upload,Cross-Site Scripting,CWE-79,769,4,Medium,4,Detected,Pending
V0118,database.py,JavaScript,Configuration,Command Injection,CWE-78,233,7.4,High,8.88,Detected,Fixed
V0119,upload.php,Java,Database,Buffer Overflow,CWE-120,1153,6.6,Medium,6.6,Detected,Pending
V0120,user.cpp,PHP,Configuration,Hardcoded Credentials,CWE-798,427,5.3,Medium,5.3,Detected,Fixed
V0121,database.php,PHP,API,Path Traversal,CWE-22,953,7.8,High,9.36,Detected,Fixed
V0122,profile.py,PHP,Session Management,Hardcoded Credentials,CWE-798,895,6.6,Medium,6.6,Detected,Fixed
V0123,database.php,PHP,API,SQL Injection,CWE-89,1489,6.6,Medium,6.6,Detected,Fixed
V0124,auth.java,PHP,File Upload,Buffer Overflow,CWE-120,165,6.7,Medium,6.7,Missed,Pending
V0125,checkout.py,PHP,File Upload,Hardcoded Credentials,CWE-798,1044,3.8,Low,2.66,Detected,Pending
V0126,profile.js,C++,Session Management,Insecure Cryptography,CWE-327,447,2.8,Low,1.96,Missed,Pending
V0127,database.c,JavaScript,Payment,Buffer Overflow,CWE-120,975,7.9,High,9.48,Missed,Fixed
V0128,api.c,Python,Session Management,Insecure API,CWE-639,165,6.9,Medium,6.9,Detected,Pending
V0129,payment.c,JavaScript,File Upload,Hardcoded Credentials,CWE-798,746,9.6,Critical,14.4,Detected,Fixed
V0130,login.js,C++,Database,Buffer Overflow,CWE-120,969,9.7,Critical,14.55,Detected,Fixed
V0131,database.py,PHP,User Management,Command Injection,CWE-78,231,8,High,9.6,Missed,Pending
V0132,admin.java,Python,File Upload,Hardcoded Credentials,CWE-798,1144,5.5,Medium,5.5,Detected,Fixed
V0133,profile.cpp,C,Payment,Hardcoded Credentials,CWE-798,330,3.4,Low,2.38,Detected,Pending
V0134,profile.java,PHP,Authentication,Insecure API,CWE-639,1500,5.5,Medium,5.5,Missed,Pending
V0135,server.c,C,Database,SQL Injection,CWE-89,1057,8.1,High,9.72,Detected,Pending
V0136,checkout.c,Python,Session Management,Sensitive Data Exposure,CWE-200,1325,9.4,Critical,14.1,Detected,Pending
V0137,checkout.java,Java,Session Management,Hardcoded Credentials,CWE-798,134,9.3,Critical,13.95,Missed,Pending
V0138,auth.js,JavaScript,Authentication,Insecure Cryptography,CWE-327,744,8.5,High,10.2,Detected,Pending
V0139,admin.c,Java,API,Path Traversal,CWE-22,577,3.6,Low,2.52,Missed,Pending
V0140,admin.js,C,Payment,Buffer Overflow,CWE-120,1104,2.4,Low,1.68,Detected,Pending
V0141,login.cpp,JavaScript,Authentication,Weak Authentication,CWE-287,388,5.8,Medium,5.8,Detected,Pending
V0142,config.js,PHP,Database,Cross-Site Scripting,CWE-79,912,6.7,Medium,6.7,Detected,Pending
V0143,session.js,JavaScript,File Upload,Insecure API,CWE-639,1274,2.8,Low,1.96,Detected,Fixed
V0144,database.py,Python,Authentication,Insecure Cryptography,CWE-327,70,9.6,Critical,14.4,Detected,Fixed
V0145,download.java,C,Configuration,Buffer Overflow,CWE-120,19,3.3,Low,2.31,Detected,Pending
V0146,checkout.js,JavaScript,Configuration,Sensitive Data Exposure,CWE-200,1325,9.4,Critical,14.1,Detected,Pending
V0147,login.js,JavaScript,API,Hardcoded Credentials,CWE-798,79,3,Low,2.1,Detected,Fixed
V0148,auth.js,Java,User Management,Weak Authentication,CWE-287,740,7.3,High,8.76,Detected,Fixed
V0149,api.cpp,PHP,Configuration,Path Traversal,CWE-22,112,8.3,High,9.96,Detected,Pending
V0150,profile.c,JavaScript,Database,SQL Injection,CWE-89,556,8.1,High,9.72,Missed,Pending
V0151,database.java,Python,Payment,Buffer Overflow,CWE-120,568,7.4,High,8.88,Detected,Fixed
V0152,api.c,C++,File Upload,Buffer Overflow,CWE-120,464,2.9,Low,2.03,Missed,Fixed
V0153,search.cpp,PHP,Payment,Sensitive Data Exposure,CWE-200,1345,8.8,High,10.56,Detected,Fixed
V0154,checkout.py,C,API,Insecure Cryptography,CWE-327,681,6.9,Medium,6.9,Detected,Fixed
V0155,profile.java,Python,Database,Buffer Overflow,CWE-120,1316,8.7,High,10.44,Detected,Pending
V0156,auth.c,Python,Database,Cross-Site Scripting,CWE-79,244,3.4,Low,2.38,Detected,Fixed
V0157,search.java,Java,Database,Weak Authentication,CWE-287,1101,2.1,Low,1.47,Detected,Pending
V0158,payment.java,PHP,Configuration,Insecure Cryptography,CWE-327,784,4.6,Medium,4.6,Detected,Pending
V0159,database.js,JavaScript,Database,Path Traversal,CWE-22,661,4.2,Medium,4.2,Missed,Fixed
V0160,config.php,JavaScript,API,Path Traversal,CWE-22,1424,8.6,High,10.32,Detected,Fixed
V0161,checkout.php,JavaScript,Session Management,Sensitive Data Exposure,CWE-200,220,9.5,Critical,14.25,Detected,Fixed
V0162,session.js,PHP,Session Management,Sensitive Data Exposure,CWE-200,1413,3,Low,2.1,Detected,Pending
V0163,upload.java,Python,API,Buffer Overflow,CWE-120,154,9.3,Critical,13.95,Detected,Fixed
V0164,api.py,Python,File Upload,Insecure API,CWE-639,989,6.8,Medium,6.8,Detected,Pending
V0165,database.cpp,Java,Payment,Path Traversal,CWE-22,292,5.2,Medium,5.2,Missed,Fixed
V0166,admin.php,Java,API,Sensitive Data Exposure,CWE-200,748,7.3,High,8.76,Missed,Pending
V0167,login.java,JavaScript,File Upload,SQL Injection,CWE-89,286,8.1,High,9.72,Detected,Pending
V0168,auth.cpp,JavaScript,File Upload,Insecure Cryptography,CWE-327,1196,6.2,Medium,6.2,Detected,Fixed
V0169,login.java,Python,Session Management,Command Injection,CWE-78,253,5.2,Medium,5.2,Detected,Fixed
V0170,payment.js,JavaScript,Configuration,Sensitive Data Exposure,CWE-200,522,9.7,Critical,14.55,Detected,Fixed
V0171,profile.cpp,C++,User Management,Weak Authentication,CWE-287,22,2.4,Low,1.68,Detected,Pending
V0172,upload.c,PHP,API,Insecure API,CWE-639,644,3.2,Low,2.24,Detected,Fixed
V0173,download.py,Java,User Management,Insecure Cryptography,CWE-327,404,7.6,High,9.12,Missed,Fixed
V0174,search.c,Python,Authentication,Hardcoded Credentials,CWE-798,573,7.8,High,9.36,Detected,Fixed
V0175,login.php,Java,Configuration,Sensitive Data Exposure,CWE-200,332,2.9,Low,2.03,Missed,Pending
V0176,checkout.js,Java,API,Path Traversal,CWE-22,628,5.7,Medium,5.7,Missed,Pending
V0177,profile.js,JavaScript,Authentication,Insecure Cryptography,CWE-327,303,7.1,High,8.52,Detected,Fixed
V0178,login.py,JavaScript,Authentication,Path Traversal,CWE-22,720,5.2,Medium,5.2,Missed,Pending
V0179,config.js,C,API,Sensitive Data Exposure,CWE-200,832,9.9,Critical,14.85,Detected,Fixed
V0180,config.py,Java,Session Management,Hardcoded Credentials,CWE-798,321,7.4,High,8.88,Detected,Pending
V0181,auth.js,C++,Configuration,Buffer Overflow,CWE-120,187,4.5,Medium,4.5,Detected,Fixed
V0182,checkout.php,PHP,Authentication,Insecure Cryptography,CWE-327,723,3.2,Low,2.24,Detected,Fixed
V0183,session.js,PHP,Session Management,Insecure Cryptography,CWE-327,1047,4.4,Medium,4.4,Detected,Fixed
V0184,download.java,C++,Configuration,Insecure Cryptography,CWE-327,973,2.8,Low,1.96,Detected,Fixed
V0185,admin.c,C,Database,Weak Authentication,CWE-287,798,2.2,Low,1.54,Detected,Fixed
V0186,download.py,Python,Session Management,Path Traversal,CWE-22,42,4.5,Medium,4.5,Detected,Fixed
V0187,login.php,C++,API,Insecure API,CWE-639,531,7.9,High,9.48,Detected,Fixed
V0188,profile.java,C++,User Management,SQL Injection,CWE-89,470,9.7,Critical,14.55,Missed,Pending
V0189,session.java,Python,File Upload,Sensitive Data Exposure,CWE-200,281,5.3,Medium,5.3,Detected,Fixed
V0190,profile.java,Java,Payment,Sensitive Data Exposure,CWE-200,933,6.2,Medium,6.2,Detected,Fixed
V0191,profile.java,JavaScript,Database,SQL Injection,CWE-89,39,2.5,Low,1.75,Missed,Pending
V0192,admin.java,C,Database,Sensitive Data Exposure,CWE-200,144,7,High,8.4,Detected,Fixed
V0193,download.js,JavaScript,API,SQL Injection,CWE-89,763,4.8,Medium,4.8,Detected,Fixed
V0194,auth.c,Python,Authentication,Sensitive Data Exposure,CWE-200,1150,5.4,Medium,5.4,Detected,Fixed
V0195,login.cpp,C++,User Management,Weak Authentication,CWE-287,550,9.7,Critical,14.55,Detected,Fixed
V0196,session.cpp,C++,Database,Path Traversal,CWE-22,1143,7.4,High,8.88,Detected,Pending
V0197,download.py,JavaScript,Payment,Weak Authentication,CWE-287,871,7.7,High,9.24,Detected,Fixed
V0198,checkout.cpp,C,Database,Sensitive Data Exposure,CWE-200,307,3.4,Low,2.38,Detected,Pending
V0199,session.js,C,Authentication,Insecure Cryptography,CWE-327,1024,3.6,Low,2.52,Detected,Pending
V0200,session.js,PHP,Session Management,Hardcoded Credentials,CWE-798,333,9,Critical,13.5,Missed,Fixed
V0201,session.java,C,Authentication,Insecure API,CWE-639,846,8.7,High,10.44,Detected,Fixed
V0202,search.c,JavaScript,Database,Cross-Site Scripting,CWE-79,1136,7.8,High,9.36,Detected,Fixed
V0203,api.cpp,C,API,SQL Injection,CWE-89,1223,4.2,Medium,4.2,Detected,Pending
V0204,database.php,Java,Database,Weak Authentication,CWE-287,1054,3.7,Low,2.59,Detected,Fixed
V0205,user.py,PHP,User Management,Insecure Cryptography,CWE-327,1413,6,Medium,6,Detected,Pending
V0206,api.cpp,C,Authentication,Hardcoded Credentials,CWE-798,1181,6.2,Medium,6.2,Detected,Pending
V0207,profile.c,JavaScript,Authentication,Command Injection,CWE-78,1092,3.8,Low,2.66,Detected,Fixed
V0208,session.php,JavaScript,Database,Insecure Cryptography,CWE-327,33,8.1,High,9.72,Detected,Pending
V0209,upload.cpp,C++,File Upload,SQL Injection,CWE-89,1459,2.2,Low,1.54,Detected,Fixed
V0210,admin.java,PHP,User Management,Cross-Site Scripting,CWE-79,654,7.7,High,9.24,Detected,Fixed
V0211,login.cpp,Python,File Upload,Hardcoded Credentials,CWE-798,1479,8.7,High,10.44,Detected,Fixed
V0212,profile.cpp,C++,User Management,Sensitive Data Exposure,CWE-200,528,9.4,Critical,14.1,Detected,Pending
V0213,login.java,PHP,Payment,SQL Injection,CWE-89,1348,7.3,High,8.76,Detected,Fixed
V0214,download.java,C++,User Management,Weak Authentication,CWE-287,313,4.2,Medium,4.2,Detected,Pending
V0215,admin.php,Java,Configuration,Weak Authentication,CWE-287,1415,3.7,Low,2.59,Detected,Fixed
V0216,payment.py,Python,File Upload,Insecure Cryptography,CWE-327,953,8.9,High,10.68,Missed,Pending
V0217,user.cpp,C,File Upload,Buffer Overflow,CWE-120,1218,2.2,Low,1.54,Detected,Pending
V0218,server.cpp,Java,Session Management,Path Traversal,CWE-22,476,8.8,High,10.56,Detected,Fixed
V0219,download.java,Java,File Upload,Insecure Cryptography,CWE-327,382,6.2,Medium,6.2,Detected,Pending
V0220,upload.py,C++,Session Management,Weak Authentication,CWE-287,492,5.5,Medium,5.5,Detected,Fixed
V0221,search.java,Java,Configuration,Cross-Site Scripting,CWE-79,269,9.5,Critical,14.25,Detected,Fixed
V0222,login.c,PHP,Session Management,Sensitive Data Exposure,CWE-200,1053,3.3,Low,2.31,Missed,Pending
V0223,database.java,Java,File Upload,Insecure API,CWE-639,1311,5,Medium,5,Detected,Fixed
V0224,payment.py,Java,File Upload,Path Traversal,CWE-22,1072,3.1,Low,2.17,Detected,Pending
V0225,checkout.cpp,C++,Configuration,Insecure Cryptography,CWE-327,760,3.2,Low,2.24,Detected,Pending
V0226,download.js,C,Session Management,SQL Injection,CWE-89,143,7.4,High,8.88,Detected,Pending
V0227,config.js,C++,API,Weak Authentication,CWE-287,511,6.5,Medium,6.5,Detected,Fixed
V0228,search.js,Java,Payment,Weak Authentication,CWE-287,1431,5.8,Medium,5.8,Detected,Pending
V0229,download.c,Python,Authentication,Buffer Overflow,CWE-120,1219,8.5,High,10.2,Detected,Pending
V0230,payment.java,C++,File Upload,Weak Authentication,CWE-287,915,9.7,Critical,14.55,Missed,Pending
V0231,login.php,PHP,Configuration,Path Traversal,CWE-22,756,6.1,Medium,6.1,Detected,Pending
V0232,admin.java,C,Payment,Hardcoded Credentials,CWE-798,1197,7.6,High,9.12,Detected,Fixed
V0233,session.cpp,C,User Management,Cross-Site Scripting,CWE-79,893,3.4,Low,2.38,Detected,Pending
V0234,admin.c,C++,Database,SQL Injection,CWE-89,787,4.8,Medium,4.8,Detected,Pending
V0235,server.cpp,PHP,API,SQL Injection,CWE-89,1280,2.4,Low,1.68,Detected,Pending
V0236,search.c,C,Database,Cross-Site Scripting,CWE-79,1202,3.2,Low,2.24,Missed,Pending
V0237,checkout.java,Python,Session Management,SQL Injection,CWE-89,25,2.8,Low,1.96,Detected,Pending
V0238,auth.cpp,Java,Session Management,Cross-Site Scripting,CWE-79,700,4.2,Medium,4.2,Missed,Fixed
V0239,config.py,Python,Payment,Buffer Overflow,CWE-120,816,5.1,Medium,5.1,Missed,Pending
V0240,checkout.cpp,C,Session Management,SQL Injection,CWE-89,1421,7.1,High,8.52,Detected,Pending
V0241,payment.java,C,Database,Command Injection,CWE-78,633,7.7,High,9.24,Detected,Fixed
V0242,user.js,JavaScript,Authentication,Cross-Site Scripting,CWE-79,742,4.6,Medium,4.6,Detected,Pending
V0243,payment.cpp,PHP,User Management,Cross-Site Scripting,CWE-79,1462,9.7,Critical,14.55,Detected,Fixed
V0244,search.c,Java,User Management,Weak Authentication,CWE-287,260,7.6,High,9.12,Missed,Pending
V0245,search.cpp,Python,Payment,Insecure Cryptography,CWE-327,1312,3.3,Low,2.31,Detected,Pending
V0246,server.py,C,Database,Sensitive Data Exposure,CWE-200,946,5,Medium,5,Detected,Fixed
V0247,database.c,Java,API,Insecure API,CWE-639,907,4.4,Medium,4.4,Detected,Pending
V0248,login.php,Python,User Management,Sensitive Data Exposure,CWE-200,615,5.7,Medium,5.7,Detected,Fixed
V0249,config.js,Python,Payment,Sensitive Data Exposure,CWE-200,995,8.6,High,10.32,Detected,Pending
V0250,api.java,C,Authentication,Insecure API,CWE-639,1296,3.9,Low,2.73,Detected,Pending
V0251,auth.js,PHP,Session Management,Command Injection,CWE-78,258,5.2,Medium,5.2,Missed,Pending
V0252,download.js,C++,Database,Hardcoded Credentials,CWE-798,488,9.8,Critical,14.7,Detected,Fixed
V0253,profile.php,Java,User Management,Command Injection,CWE-78,1118,3,Low,2.1,Detected,Pending
V0254,admin.py,C,Payment,Path Traversal,CWE-22,706,7,High,8.4,Missed,Pending
V0255,auth.js,C++,Payment,Command Injection,CWE-78,563,7.6,High,9.12,Detected,Pending
V0256,server.java,Python,File Upload,Cross-Site Scripting,CWE-79,199,6.7,Medium,6.7,Detected,Fixed
V0257,config.c,JavaScript,Payment,Path Traversal,CWE-22,911,10,Critical,15,Detected,Fixed
V0258,api.php,JavaScript,API,Command Injection,CWE-78,1180,2.4,Low,1.68,Detected,Pending
V0259,user.py,Python,Session Management,Insecure Cryptography,CWE-327,976,9.9,Critical,14.85,Detected,Fixed
V0260,upload.java,C,API,Path Traversal,CWE-22,1384,8,High,9.6,Missed,Fixed
V0261,search.js,C,Configuration,Insecure Cryptography,CWE-327,24,5.5,Medium,5.5,Detected,Pending
V0262,user.py,Python,Session Management,Hardcoded Credentials,CWE-798,1308,3.2,Low,2.24,Detected,Pending
